right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.437;9.84;-0.052;-1.787;9.486;0.011;0.05;5.488;-0.617;0.185;8.439;-0.797;0.185;8.439;-0.797;0.072;10.015;-0.371;0.0;4.805;0.0;0.05;5.488;-0.617;0.0;4.805;0.0;-1.162;4.546;0.127;-2.861;5.209;3.805;-3.166;1.16;2.597;-1.162;4.546;0.127;-2.861;5.209;3.805;2.948;7.379;1.575;1.817;7.771;3.73;1.121;4.423;0.174;3.4;4.889;3.556;-1.787;9.486;0.011;-2.923;7.782;1.894;0.072;10.015;-0.371;0.17;10.823;0.594;-2.923;7.782;1.894;-1.723;7.741;3.964;0.0;4.805;0.0;1.121;4.423;0.174;1.778;9.393;-0.16;2.948;7.379;1.575;0.488;9.872;0.074;1.778;9.393;-0.16;3.4;4.889;3.556;2.573;0.974;1.907
-0.437;9.834;-0.033;-1.784;9.466;-0.004;0.045;5.49;-0.623;0.193;8.441;-0.787;0.193;8.441;-0.787;0.073;10.013;-0.349;-0.005;4.807;-0.006;0.045;5.49;-0.623;-0.005;4.807;-0.006;-1.167;4.549;0.122;-2.866;5.209;3.801;-3.168;1.16;2.596;-1.167;4.549;0.122;-2.866;5.209;3.801;2.963;7.377;1.579;1.823;7.767;3.73;1.116;4.422;0.165;3.389;4.892;3.551;-1.784;9.466;-0.004;-3.034;7.729;1.773;0.073;10.013;-0.349;0.142;10.814;0.626;-3.034;7.729;1.773;-2.009;7.749;3.936;-0.005;4.807;-0.006;1.116;4.422;0.165;1.779;9.395;-0.142;2.963;7.377;1.579;0.488;9.868;0.097;1.779;9.395;-0.142;3.389;4.892;3.551;2.572;0.974;1.906
-0.441;9.824;-0.018;-1.778;9.422;-0.045;0.048;5.49;-0.631;0.207;8.441;-0.776;0.207;8.441;-0.776;0.07;10.009;-0.328;-0.004;4.807;-0.014;0.048;5.49;-0.631;-0.004;4.807;-0.014;-1.167;4.555;0.117;-2.874;5.209;3.792;-3.171;1.156;2.596;-1.167;4.555;0.117;-2.874;5.209;3.792;2.972;7.372;1.58;1.827;7.765;3.729;1.115;4.417;0.156;3.379;4.895;3.546;-1.778;9.422;-0.045;-3.168;7.673;1.613;0.07;10.009;-0.328;0.109;10.798;0.658;-3.168;7.673;1.613;-2.452;7.847;3.89;-0.004;4.807;-0.014;1.115;4.417;0.156;1.774;9.397;-0.123;2.972;7.372;1.58;0.481;9.864;0.121;1.774;9.397;-0.123;3.379;4.895;3.546;2.571;0.973;1.906
-0.442;9.823;0.01;-1.759;9.368;-0.077;0.076;5.504;-0.631;0.236;8.456;-0.75;0.236;8.456;-0.75;0.07;10.018;-0.292;0.019;4.82;-0.015;0.076;5.504;-0.631;0.019;4.82;-0.015;-1.146;4.578;0.117;-2.875;5.215;3.785;-3.171;1.161;2.593;-1.146;4.578;0.117;-2.875;5.215;3.785;2.982;7.374;1.585;1.829;7.761;3.73;1.135;4.42;0.152;3.384;4.895;3.553;-1.759;9.368;-0.077;-3.297;7.638;1.466;0.07;10.018;-0.292;0.077;10.794;0.705;-3.297;7.638;1.466;-3.047;8.011;3.817;0.019;4.82;-0.015;1.135;4.42;0.152;1.773;9.417;-0.087;2.982;7.374;1.585;0.478;9.877;0.161;1.773;9.417;-0.087;3.384;4.895;3.553;2.57;0.977;1.908
-0.459;9.82;0.049;-1.755;9.314;-0.072;0.093;5.51;-0.626;0.246;8.464;-0.705;0.246;8.464;-0.705;0.052;10.023;-0.248;0.033;4.824;-0.013;0.093;5.51;-0.626;0.033;4.824;-0.013;-1.133;4.586;0.117;-2.891;5.216;3.773;-3.172;1.159;2.589;-1.133;4.586;0.117;-2.891;5.216;3.773;2.988;7.379;1.592;1.828;7.76;3.734;1.147;4.418;0.152;3.379;4.894;3.565;-1.755;9.314;-0.072;-3.451;7.683;1.413;0.052;10.023;-0.248;0.034;10.788;0.757;-3.451;7.683;1.413;-3.754;8.281;3.711;0.033;4.824;-0.013;1.147;4.418;0.152;1.756;9.438;-0.045;2.988;7.379;1.592;0.459;9.887;0.208;1.756;9.438;-0.045;3.379;4.894;3.565;2.568;0.978;1.91
-0.496;9.826;0.11;-1.781;9.294;-0.012;0.104;5.522;-0.612;0.229;8.479;-0.642;0.229;8.479;-0.642;0.014;10.036;-0.187;0.043;4.831;-0.004;0.104;5.522;-0.612;0.043;4.831;-0.004;-1.123;4.594;0.123;-2.915;5.218;3.763;-3.173;1.158;2.584;-1.123;4.594;0.123;-2.915;5.218;3.763;2.988;7.392;1.596;1.827;7.76;3.74;1.157;4.424;0.16;3.376;4.89;3.582;-1.781;9.294;-0.012;-3.65;7.821;1.43;0.014;10.036;-0.187;-0.022;10.794;0.823;-3.65;7.821;1.43;-4.493;8.539;3.551;0.043;4.831;-0.004;1.157;4.424;0.16;1.72;9.467;0.007;2.988;7.392;1.596;0.421;9.906;0.27;1.72;9.467;0.007;3.376;4.89;3.582;2.569;0.981;1.911
-0.554;9.838;0.187;-1.848;9.323;0.088;0.095;5.539;-0.587;0.174;8.498;-0.575;0.174;8.498;-0.575;-0.048;10.052;-0.113;0.036;4.843;0.015;0.095;5.539;-0.587;0.036;4.843;0.015;-1.129;4.6;0.139;-2.95;5.217;3.766;-3.175;1.156;2.583;-1.129;4.6;0.139;-2.95;5.217;3.766;2.977;7.407;1.595;1.826;7.762;3.747;1.151;4.439;0.176;3.373;4.888;3.599;-1.848;9.323;0.088;-3.863;8.007;1.483;-0.048;10.052;-0.113;-0.088;10.805;0.9;-3.863;8.007;1.483;-5.096;8.654;3.429;0.036;4.843;0.015;1.151;4.439;0.176;1.662;9.493;0.061;2.977;7.407;1.595;0.364;9.923;0.34;1.662;9.493;0.061;3.373;4.888;3.599;2.569;0.985;1.914
-0.618;9.845;0.261;-1.93;9.372;0.189;0.074;5.553;-0.557;0.106;8.512;-0.517;0.106;8.512;-0.517;-0.115;10.062;-0.042;0.019;4.852;0.038;0.074;5.553;-0.557;0.019;4.852;0.038;-1.145;4.6;0.16;-2.989;5.215;3.776;-3.18;1.155;2.583;-1.145;4.6;0.16;-2.989;5.215;3.776;2.964;7.416;1.59;1.826;7.759;3.751;1.136;4.453;0.197;3.368;4.889;3.615;-1.93;9.372;0.189;-4.048;8.186;1.548;-0.115;10.062;-0.042;-0.152;10.809;0.976;-4.048;8.186;1.548;-5.515;8.666;3.376;0.019;4.852;0.038;1.136;4.453;0.197;1.598;9.509;0.111;2.964;7.416;1.59;0.301;9.931;0.407;1.598;9.509;0.111;3.368;4.889;3.615;2.568;0.991;1.915
-0.673;9.841;0.319;-2.004;9.421;0.269;0.048;5.556;-0.53;0.045;8.515;-0.475;0.045;8.515;-0.475;-0.172;10.061;0.014;-0.002;4.85;0.061;0.048;5.556;-0.53;-0.002;4.85;0.061;-1.164;4.589;0.179;-3.018;5.209;3.788;-3.185;1.152;2.584;-1.164;4.589;0.179;-3.018;5.209;3.788;2.95;7.413;1.589;1.819;7.752;3.754;1.118;4.458;0.219;3.358;4.891;3.632;-2.004;9.421;0.269;-4.194;8.355;1.612;-0.172;10.061;0.014;-0.203;10.802;1.037;-4.194;8.355;1.612;-5.793;8.678;3.363;-0.002;4.85;0.061;1.118;4.458;0.219;1.543;9.509;0.154;2.95;7.413;1.589;0.246;9.926;0.46;1.543;9.509;0.154;3.358;4.891;3.632;2.566;0.996;1.92
-0.733;9.829;0.371;-2.078;9.455;0.343;0.021;5.552;-0.511;-0.019;8.51;-0.44;-0.019;8.51;-0.44;-0.234;10.052;0.065;-0.024;4.842;0.076;0.021;5.552;-0.511;-0.024;4.842;0.076;-1.184;4.568;0.189;-3.039;5.205;3.795;-3.186;1.148;2.586;-1.184;4.568;0.189;-3.039;5.205;3.795;2.934;7.409;1.583;1.814;7.745;3.754;1.1;4.461;0.234;3.34;4.894;3.647;-2.078;9.455;0.343;-4.301;8.475;1.699;-0.234;10.052;0.065;-0.254;10.788;1.092;-4.301;8.475;1.699;-5.966;8.645;3.409;-0.024;4.842;0.076;1.1;4.461;0.234;1.485;9.504;0.19;2.934;7.409;1.583;0.188;9.913;0.507;1.485;9.504;0.19;3.34;4.894;3.647;2.564;1.002;1.924
