right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.544;9.836;-0.022;-1.887;9.454;-0.015;0.023;5.495;-0.611;0.097;8.449;-0.778;0.097;8.449;-0.778;-0.037;10.02;-0.34;0.0;4.805;0.0;0.023;5.495;-0.611;0.0;4.805;0.0;-1.152;4.512;0.138;-2.757;5.204;3.852;-3.085;1.158;2.642;-1.152;4.512;0.138;-2.757;5.204;3.852;3.026;7.478;1.535;1.983;7.762;3.751;1.133;4.453;0.157;3.491;4.884;3.49;-1.887;9.454;-0.015;-3.021;7.715;1.837;-0.037;10.02;-0.34;0.122;10.817;0.626;-3.021;7.715;1.837;-1.869;7.746;3.934;0.0;4.805;0.0;1.133;4.453;0.157;1.682;9.434;-0.138;3.026;7.478;1.535;0.381;9.879;0.104;1.682;9.434;-0.138;3.491;4.884;3.49;2.635;0.978;1.835
-0.567;9.827;-0.01;-1.903;9.422;-0.02;0.016;5.497;-0.616;0.086;8.451;-0.775;0.086;8.451;-0.775;-0.062;10.018;-0.327;-0.006;4.807;-0.005;0.016;5.497;-0.616;-0.006;4.807;-0.005;-1.158;4.514;0.136;-2.768;5.203;3.849;-3.087;1.156;2.643;-1.158;4.514;0.136;-2.768;5.203;3.849;3.025;7.492;1.531;1.983;7.765;3.749;1.128;4.455;0.15;3.485;4.887;3.483;-1.903;9.422;-0.02;-3.085;7.645;1.764;-0.062;10.018;-0.327;0.093;10.813;0.642;-3.085;7.645;1.764;-2.078;7.733;3.934;-0.006;4.807;-0.005;1.128;4.455;0.15;1.662;9.444;-0.131;3.025;7.492;1.531;0.358;9.879;0.116;1.662;9.444;-0.131;3.485;4.887;3.483;2.633;0.978;1.835
-0.587;9.824;0.004;-1.91;9.379;-0.043;0.022;5.507;-0.621;0.087;8.461;-0.767;0.087;8.461;-0.767;-0.083;10.023;-0.31;-0.001;4.817;-0.009;0.022;5.507;-0.621;-0.001;4.817;-0.009;-1.153;4.528;0.134;-2.774;5.209;3.844;-3.089;1.16;2.64;-1.153;4.528;0.134;-2.774;5.209;3.844;3.025;7.509;1.527;1.984;7.768;3.747;1.132;4.461;0.143;3.487;4.889;3.478;-1.91;9.379;-0.043;-3.165;7.576;1.664;-0.083;10.023;-0.31;0.064;10.815;0.663;-3.165;7.576;1.664;-2.422;7.776;3.93;-0.001;4.817;-0.009;1.132;4.461;0.143;1.643;9.463;-0.118;3.025;7.509;1.527;0.336;9.887;0.134;1.643;9.463;-0.118;3.487;4.889;3.478;2.631;0.978;1.835
-0.612;9.814;0.02;-1.915;9.321;-0.071;0.021;5.507;-0.624;0.085;8.462;-0.75;0.085;8.462;-0.75;-0.108;10.021;-0.29;-0.001;4.816;-0.013;0.021;5.507;-0.624;-0.001;4.816;-0.013;-1.153;4.524;0.129;-2.783;5.21;3.834;-3.091;1.158;2.638;-1.153;4.524;0.129;-2.783;5.21;3.834;3.025;7.52;1.524;1.985;7.768;3.746;1.132;4.461;0.138;3.484;4.891;3.476;-1.915;9.321;-0.071;-3.264;7.522;1.568;-0.108;10.021;-0.29;0.031;10.81;0.687;-3.264;7.522;1.568;-2.904;7.873;3.908;-0.001;4.816;-0.013;1.132;4.461;0.138;1.619;9.476;-0.099;3.025;7.52;1.524;0.31;9.888;0.157;1.619;9.476;-0.099;3.484;4.891;3.476;2.631;0.979;1.834
-0.643;9.8;0.041;-1.925;9.261;-0.086;0.012;5.498;-0.622;0.075;8.455;-0.722;0.075;8.455;-0.722;-0.139;10.012;-0.265;-0.007;4.805;-0.015;0.012;5.498;-0.622;-0.007;4.805;-0.015;-1.157;4.505;0.123;-2.799;5.207;3.82;-3.091;1.151;2.637;-1.157;4.505;0.123;-2.799;5.207;3.82;3.02;7.525;1.526;1.982;7.766;3.75;1.128;4.458;0.139;3.473;4.892;3.481;-1.925;9.261;-0.086;-3.382;7.502;1.501;-0.139;10.012;-0.265;-0.007;10.799;0.713;-3.382;7.502;1.501;-3.479;7.986;3.843;-0.007;4.805;-0.015;1.128;4.458;0.139;1.588;9.481;-0.073;3.02;7.525;1.526;0.276;9.884;0.185;1.588;9.481;-0.073;3.473;4.892;3.481;2.632;0.98;1.833
-0.672;9.797;0.069;-1.939;9.228;-0.078;0.013;5.5;-0.614;0.064;8.458;-0.687;0.064;8.458;-0.687;-0.168;10.013;-0.233;-0.005;4.804;-0.01;0.013;5.5;-0.614;-0.005;4.804;-0.01;-1.154;4.499;0.123;-2.812;5.209;3.811;-3.092;1.149;2.635;-1.154;4.499;0.123;-2.812;5.209;3.811;3.015;7.534;1.531;1.979;7.766;3.757;1.132;4.462;0.146;3.468;4.892;3.494;-1.939;9.228;-0.078;-3.519;7.541;1.47;-0.168;10.013;-0.233;-0.044;10.801;0.746;-3.519;7.541;1.47;-4.057;8.088;3.737;-0.005;4.804;-0.01;1.132;4.462;0.146;1.559;9.495;-0.04;3.015;7.534;1.531;0.245;9.89;0.22;1.559;9.495;-0.04;3.468;4.892;3.494;2.634;0.983;1.836
-0.707;9.801;0.099;-1.972;9.229;-0.047;0.009;5.51;-0.601;0.04;8.468;-0.656;0.04;8.468;-0.656;-0.203;10.021;-0.201;-0.007;4.811;0.001;0.009;5.51;-0.601;-0.007;4.811;0.001;-1.156;4.501;0.129;-2.83;5.21;3.81;-3.094;1.15;2.634;-1.156;4.501;0.129;-2.83;5.21;3.81;3.007;7.544;1.527;1.977;7.765;3.757;1.13;4.471;0.157;3.458;4.893;3.512;-1.972;9.229;-0.047;-3.683;7.643;1.469;-0.203;10.021;-0.201;-0.084;10.807;0.78;-3.683;7.643;1.469;-4.579;8.167;3.625;-0.007;4.811;0.001;1.13;4.471;0.157;1.524;9.51;-0.011;3.007;7.544;1.527;0.209;9.9;0.253;1.524;9.51;-0.011;3.458;4.893;3.512;2.631;0.99;1.837
-0.747;9.801;0.135;-2.024;9.25;0.003;0.004;5.515;-0.586;0.004;8.474;-0.626;0.004;8.474;-0.626;-0.245;10.024;-0.165;-0.012;4.814;0.013;0.004;5.515;-0.586;-0.012;4.814;0.013;-1.16;4.5;0.138;-2.851;5.209;3.811;-3.096;1.148;2.634;-1.16;4.5;0.138;-2.851;5.209;3.811;2.998;7.55;1.523;1.977;7.764;3.758;1.126;4.476;0.17;3.442;4.894;3.533;-2.024;9.25;0.003;-3.862;7.782;1.487;-0.245;10.024;-0.165;-0.125;10.811;0.815;-3.862;7.782;1.487;-5.019;8.213;3.537;-0.012;4.814;0.013;1.126;4.476;0.17;1.483;9.517;0.017;2.998;7.55;1.523;0.169;9.903;0.288;1.483;9.517;0.017;3.442;4.894;3.533;2.63;0.995;1.842
-0.792;9.804;0.177;-2.085;9.289;0.063;0.002;5.527;-0.573;-0.039;8.486;-0.597;-0.039;8.486;-0.597;-0.292;10.031;-0.124;-0.013;4.824;0.024;0.002;5.527;-0.573;-0.013;4.824;0.024;-1.161;4.508;0.148;-2.865;5.213;3.815;-3.098;1.153;2.632;-1.161;4.508;0.148;-2.865;5.213;3.815;2.985;7.559;1.518;1.976;7.763;3.759;1.125;4.488;0.18;3.426;4.895;3.556;-2.085;9.289;0.063;-4.027;7.93;1.518;-0.292;10.031;-0.124;-0.169;10.819;0.856;-4.027;7.93;1.518;-5.368;8.221;3.479;-0.013;4.824;0.024;1.125;4.488;0.18;1.438;9.529;0.047;2.985;7.559;1.518;0.124;9.909;0.327;1.438;9.529;0.047;3.426;4.895;3.556;2.625;1.002;1.845
-0.846;9.789;0.213;-2.155;9.313;0.123;-0.017;5.519;-0.568;-0.094;8.478;-0.575;-0.094;8.478;-0.575;-0.349;10.019;-0.09;-0.028;4.814;0.026;-0.017;5.519;-0.568;-0.028;4.814;0.026;-1.173;4.489;0.146;-2.884;5.209;3.807;-3.099;1.145;2.633;-1.173;4.489;0.146;-2.884;5.209;3.807;2.968;7.559;1.513;1.974;7.759;3.76;1.113;4.487;0.185;3.386;4.899;3.578;-2.155;9.313;0.123;-4.167;8.054;1.575;-0.349;10.019;-0.09;-0.217;10.808;0.888;-4.167;8.054;1.575;-5.617;8.208;3.472;-0.028;4.814;0.026;1.113;4.487;0.185;1.385;9.52;0.07;2.968;7.559;1.513;0.071;9.895;0.358;1.385;9.52;0.07;3.386;4.899;3.578;2.624;1.006;1.848
