right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.345;9.854;-0.163;-1.685;9.471;-0.09;0.04;5.482;-0.625;0.237;8.423;-0.885;0.237;8.423;-0.885;0.165;10.01;-0.491;0.0;4.805;0.0;0.04;5.482;-0.625;0.0;4.805;0.0;-1.158;4.534;0.133;-2.945;5.222;3.764;-3.069;1.13;2.677;-1.158;4.534;0.133;-2.945;5.222;3.764;3.206;7.446;1.387;2.095;7.607;3.583;1.126;4.437;0.175;3.485;4.882;3.505;-1.685;9.471;-0.09;-2.361;7.782;2.014;0.165;10.01;-0.491;0.321;10.827;0.459;-2.361;7.782;2.014;-1.12;7.9;4.057;0.0;4.805;0.0;1.126;4.437;0.175;1.882;9.415;-0.286;3.206;7.446;1.387;0.582;9.867;-0.047;1.882;9.415;-0.286;3.485;4.882;3.505;2.667;0.979;1.825
-0.339;9.855;-0.14;-1.68;9.474;-0.079;0.038;5.484;-0.625;0.231;8.426;-0.874;0.231;8.426;-0.874;0.17;10.01;-0.47;-0.001;4.806;-0.001;0.038;5.484;-0.625;-0.001;4.806;-0.001;-1.159;4.534;0.132;-2.942;5.222;3.765;-3.069;1.13;2.678;-1.159;4.534;0.132;-2.942;5.222;3.765;3.267;7.364;1.228;2.331;7.582;3.499;1.125;4.44;0.173;3.472;4.882;3.512;-1.68;9.474;-0.079;-2.402;7.767;1.996;0.17;10.01;-0.47;0.327;10.825;0.482;-2.402;7.767;1.996;-1.191;7.896;4.057;-0.001;4.806;-0.001;1.125;4.44;0.173;1.876;9.398;-0.309;3.267;7.364;1.228;0.589;9.863;-0.029;1.876;9.398;-0.309;3.472;4.882;3.512;2.666;0.979;1.827
-0.329;9.863;-0.108;-1.673;9.486;-0.069;0.029;5.493;-0.629;0.222;8.437;-0.861;0.222;8.437;-0.861;0.178;10.018;-0.441;-0.007;4.815;-0.005;0.029;5.493;-0.629;-0.007;4.815;-0.005;-1.164;4.539;0.129;-2.936;5.223;3.768;-3.066;1.131;2.68;-1.164;4.539;0.129;-2.936;5.223;3.768;3.338;7.272;1.016;2.705;7.537;3.384;1.12;4.451;0.167;3.461;4.889;3.511;-1.673;9.486;-0.069;-2.464;7.753;1.958;0.178;10.018;-0.441;0.339;10.828;0.514;-2.464;7.753;1.958;-1.305;7.887;4.047;-0.007;4.815;-0.005;1.12;4.451;0.167;1.864;9.374;-0.341;3.338;7.272;1.016;0.6;9.862;-0.006;1.864;9.374;-0.341;3.461;4.889;3.511;2.668;0.983;1.824
-0.312;9.864;-0.07;-1.659;9.493;-0.059;0.029;5.493;-0.629;0.221;8.438;-0.838;0.221;8.438;-0.838;0.193;10.016;-0.407;-0.007;4.812;-0.008;0.029;5.493;-0.629;-0.007;4.812;-0.008;-1.164;4.538;0.129;-2.921;5.221;3.776;-3.064;1.132;2.682;-1.164;4.538;0.129;-2.921;5.221;3.776;3.416;7.191;0.804;3.189;7.468;3.244;1.12;4.446;0.16;3.461;4.89;3.503;-1.659;9.493;-0.059;-2.537;7.739;1.914;0.193;10.016;-0.407;0.355;10.825;0.551;-2.537;7.739;1.914;-1.442;7.879;4.037;-0.007;4.812;-0.008;1.12;4.446;0.16;1.855;9.342;-0.367;3.416;7.191;0.804;0.617;9.854;0.025;1.855;9.342;-0.367;3.461;4.89;3.503;2.67;0.981;1.823
-0.289;9.859;-0.03;-1.638;9.498;-0.043;0.038;5.486;-0.625;0.229;8.434;-0.808;0.229;8.434;-0.808;0.215;10.009;-0.368;-0.001;4.803;-0.008;0.038;5.486;-0.625;-0.001;4.803;-0.008;-1.159;4.536;0.132;-2.901;5.22;3.786;-3.066;1.134;2.681;-1.159;4.536;0.132;-2.901;5.22;3.786;3.502;7.147;0.653;3.71;7.4;3.097;1.124;4.427;0.153;3.471;4.885;3.49;-1.638;9.498;-0.043;-2.602;7.734;1.88;0.215;10.009;-0.368;0.378;10.817;0.59;-2.602;7.734;1.88;-1.567;7.874;4.033;-0.001;4.803;-0.008;1.124;4.427;0.153;1.858;9.311;-0.372;3.502;7.147;0.653;0.641;9.842;0.06;1.858;9.311;-0.372;3.471;4.885;3.49;2.671;0.974;1.821
-0.26;9.859;0.008;-1.613;9.512;-0.02;0.049;5.485;-0.625;0.245;8.434;-0.779;0.245;8.434;-0.779;0.244;10.008;-0.332;0.009;4.798;-0.011;0.049;5.485;-0.625;0.009;4.798;-0.011;-1.151;4.54;0.135;-2.876;5.219;3.797;-3.064;1.137;2.682;-1.151;4.54;0.135;-2.876;5.219;3.797;3.602;7.154;0.584;4.204;7.356;2.967;1.132;4.413;0.141;3.489;4.885;3.469;-1.613;9.512;-0.02;-2.645;7.745;1.864;0.244;10.008;-0.332;0.406;10.815;0.626;-2.645;7.745;1.864;-1.646;7.878;4.034;0.009;4.798;-0.011;1.132;4.413;0.141;1.875;9.292;-0.355;3.602;7.154;0.584;0.67;9.836;0.093;1.875;9.292;-0.355;3.489;4.885;3.469;2.674;0.969;1.817
-0.224;9.863;0.041;-1.58;9.53;0.008;0.054;5.487;-0.618;0.268;8.436;-0.751;0.268;8.436;-0.751;0.28;10.009;-0.3;0.013;4.798;-0.007;0.054;5.487;-0.618;0.013;4.798;-0.007;-1.147;4.546;0.143;-2.858;5.217;3.814;-3.062;1.14;2.684;-1.147;4.546;0.143;-2.858;5.217;3.814;3.733;7.219;0.605;4.642;7.367;2.893;1.135;4.405;0.137;3.51;4.885;3.451;-1.58;9.53;0.008;-2.657;7.759;1.864;0.28;10.009;-0.3;0.443;10.816;0.658;-2.657;7.759;1.864;-1.663;7.88;4.037;0.013;4.798;-0.007;1.135;4.405;0.137;1.913;9.285;-0.317;3.733;7.219;0.605;0.706;9.832;0.123;1.913;9.285;-0.317;3.51;4.885;3.451;2.676;0.967;1.814
-0.18;9.865;0.068;-1.538;9.543;0.034;0.062;5.489;-0.609;0.303;8.436;-0.726;0.303;8.436;-0.726;0.325;10.008;-0.273;0.019;4.797;-0.001;0.062;5.489;-0.609;0.019;4.797;-0.001;-1.142;4.551;0.152;-2.839;5.214;3.831;-3.06;1.142;2.685;-1.142;4.551;0.152;-2.839;5.214;3.831;3.891;7.33;0.68;5.017;7.423;2.871;1.139;4.396;0.137;3.536;4.883;3.434;-1.538;9.543;0.034;-2.642;7.768;1.87;0.325;10.008;-0.273;0.487;10.817;0.684;-2.642;7.768;1.87;-1.643;7.881;4.041;0.019;4.797;-0.001;1.139;4.396;0.137;1.969;9.29;-0.267;3.891;7.33;0.68;0.75;9.828;0.15;1.969;9.29;-0.267;3.536;4.883;3.434;2.677;0.964;1.811
-0.133;9.865;0.09;-1.492;9.548;0.049;0.074;5.491;-0.598;0.348;8.436;-0.704;0.348;8.436;-0.704;0.374;10.007;-0.249;0.029;4.797;0.007;0.074;5.491;-0.598;0.029;4.797;0.007;-1.133;4.558;0.163;-2.82;5.211;3.848;-3.059;1.145;2.687;-1.133;4.558;0.163;-2.82;5.211;3.848;4.048;7.462;0.783;5.318;7.501;2.896;1.147;4.389;0.14;3.563;4.878;3.422;-1.492;9.548;0.049;-2.624;7.768;1.863;0.374;10.007;-0.249;0.532;10.818;0.706;-2.624;7.768;1.863;-1.634;7.877;4.039;0.029;4.797;0.007;1.147;4.389;0.14;2.035;9.306;-0.208;4.048;7.462;0.783;0.797;9.825;0.175;2.035;9.306;-0.208;3.563;4.878;3.422;2.679;0.961;1.809
-0.086;9.866;0.11;-1.445;9.55;0.057;0.092;5.495;-0.587;0.398;8.437;-0.684;0.398;8.437;-0.684;0.424;10.007;-0.226;0.043;4.798;0.016;0.092;5.495;-0.587;0.043;4.798;0.016;-1.12;4.566;0.172;-2.802;5.21;3.861;-3.057;1.148;2.688;-1.12;4.566;0.172;-2.802;5.21;3.861;4.183;7.591;0.895;5.549;7.567;2.948;1.158;4.383;0.146;3.59;4.872;3.418;-1.445;9.55;0.057;-2.604;7.764;1.847;0.424;10.007;-0.226;0.575;10.822;0.728;-2.604;7.764;1.847;-1.635;7.871;4.033;0.043;4.798;0.016;1.158;4.383;0.146;2.101;9.327;-0.145;4.183;7.591;0.895;0.843;9.824;0.201;2.101;9.327;-0.145;3.59;4.872;3.418;2.681;0.959;1.808
