right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.45;9.839;-0.292;-1.772;9.397;-0.218;0.034;5.476;-0.632;0.202;8.412;-0.959;0.202;8.412;-0.959;0.06;10.006;-0.615;0.0;4.805;0.0;0.034;5.476;-0.632;0.0;4.805;0.0;-1.156;4.528;0.139;-2.818;5.231;3.826;-3.006;1.143;2.732;-1.156;4.528;0.139;-2.818;5.231;3.826;3.066;7.539;1.426;1.959;7.643;3.627;1.128;4.446;0.175;3.439;4.903;3.537;-1.772;9.397;-0.218;-2.469;7.732;1.898;0.06;10.006;-0.615;0.16;10.882;0.29;-2.469;7.732;1.898;-1.359;7.911;4.011;0.0;4.805;0.0;1.128;4.446;0.175;1.788;9.459;-0.338;3.066;7.539;1.426;0.473;9.893;-0.158;1.788;9.459;-0.338;3.439;4.903;3.537;2.694;1.014;1.793
-0.454;9.842;-0.273;-1.777;9.403;-0.202;0.031;5.479;-0.631;0.189;8.416;-0.95;0.189;8.416;-0.95;0.055;10.009;-0.598;-0.002;4.807;-0.001;0.031;5.479;-0.631;-0.002;4.807;-0.001;-1.158;4.529;0.138;-2.817;5.231;3.827;-3.007;1.144;2.732;-1.158;4.529;0.138;-2.817;5.231;3.827;3.105;7.451;1.282;2.153;7.616;3.551;1.126;4.448;0.173;3.427;4.905;3.542;-1.777;9.403;-0.202;-2.481;7.726;1.903;0.055;10.009;-0.598;0.159;10.881;0.31;-2.481;7.726;1.903;-1.366;7.911;4.012;-0.002;4.807;-0.001;1.126;4.448;0.173;1.775;9.444;-0.359;3.105;7.451;1.282;0.47;9.892;-0.144;1.775;9.444;-0.359;3.427;4.905;3.542;2.694;1.015;1.794
-0.449;9.844;-0.25;-1.775;9.41;-0.184;0.029;5.479;-0.633;0.178;8.418;-0.942;0.178;8.418;-0.942;0.058;10.009;-0.578;-0.004;4.805;-0.004;0.029;5.479;-0.633;-0.004;4.805;-0.004;-1.16;4.527;0.135;-2.812;5.231;3.826;-3.005;1.143;2.732;-1.16;4.527;0.135;-2.812;5.231;3.826;3.158;7.338;1.08;2.469;7.577;3.435;1.124;4.446;0.168;3.423;4.906;3.539;-1.775;9.41;-0.184;-2.491;7.72;1.906;0.058;10.009;-0.578;0.166;10.876;0.334;-2.491;7.72;1.906;-1.369;7.909;4.011;-0.004;4.805;-0.004;1.124;4.446;0.168;1.763;9.414;-0.396;3.158;7.338;1.08;0.476;9.886;-0.129;1.763;9.414;-0.396;3.423;4.906;3.539;2.695;1.014;1.793
-0.439;9.845;-0.221;-1.767;9.417;-0.16;0.024;5.477;-0.637;0.168;8.418;-0.929;0.168;8.418;-0.929;0.066;10.007;-0.553;-0.008;4.802;-0.009;0.024;5.477;-0.637;-0.008;4.802;-0.009;-1.164;4.523;0.131;-2.806;5.229;3.827;-3.004;1.142;2.733;-1.164;4.523;0.131;-2.806;5.229;3.827;3.217;7.227;0.85;2.891;7.514;3.277;1.121;4.442;0.16;3.426;4.907;3.525;-1.767;9.417;-0.16;-2.5;7.712;1.913;0.066;10.007;-0.553;0.177;10.869;0.364;-2.5;7.712;1.913;-1.371;7.906;4.014;-0.008;4.802;-0.009;1.121;4.442;0.16;1.75;9.378;-0.437;3.217;7.227;0.85;0.488;9.878;-0.109;1.75;9.378;-0.437;3.426;4.907;3.525;2.696;1.01;1.791
-0.422;9.847;-0.185;-1.752;9.425;-0.13;0.018;5.477;-0.639;0.164;8.42;-0.911;0.164;8.42;-0.911;0.08;10.007;-0.523;-0.013;4.8;-0.013;0.018;5.477;-0.639;-0.013;4.8;-0.013;-1.168;4.523;0.13;-2.799;5.228;3.831;-3.004;1.142;2.733;-1.168;4.523;0.13;-2.799;5.228;3.831;3.282;7.155;0.653;3.374;7.454;3.099;1.117;4.439;0.15;3.437;4.907;3.504;-1.752;9.425;-0.13;-2.507;7.704;1.921;0.08;10.007;-0.523;0.194;10.864;0.399;-2.507;7.704;1.921;-1.373;7.902;4.018;-0.013;4.8;-0.013;1.117;4.439;0.15;1.744;9.349;-0.466;3.282;7.155;0.653;0.506;9.872;-0.085;1.744;9.349;-0.466;3.437;4.907;3.504;2.698;1.004;1.788
-0.398;9.853;-0.146;-1.73;9.439;-0.096;0.012;5.482;-0.638;0.169;8.427;-0.886;0.169;8.427;-0.886;0.101;10.012;-0.488;-0.017;4.803;-0.016;0.012;5.482;-0.638;-0.017;4.803;-0.016;-1.172;4.528;0.133;-2.789;5.227;3.841;-3.004;1.144;2.734;-1.172;4.528;0.133;-2.789;5.227;3.841;3.362;7.13;0.52;3.871;7.4;2.917;1.112;4.437;0.141;3.456;4.906;3.479;-1.73;9.439;-0.096;-2.512;7.698;1.929;0.101;10.012;-0.488;0.221;10.863;0.438;-2.512;7.698;1.929;-1.371;7.897;4.023;-0.017;4.803;-0.016;1.112;4.437;0.141;1.75;9.331;-0.475;3.362;7.13;0.52;0.532;9.871;-0.056;1.75;9.331;-0.475;3.456;4.906;3.479;2.699;0.998;1.783
-0.365;9.861;-0.108;-1.7;9.453;-0.063;0.011;5.488;-0.634;0.185;8.434;-0.861;0.185;8.434;-0.861;0.132;10.018;-0.455;-0.017;4.806;-0.014;0.011;5.488;-0.634;-0.017;4.806;-0.014;-1.172;4.535;0.14;-2.773;5.226;3.857;-3.003;1.147;2.736;-1.172;4.535;0.14;-2.773;5.226;3.857;3.471;7.152;0.45;4.347;7.368;2.745;1.112;4.436;0.135;3.484;4.905;3.452;-1.7;9.453;-0.063;-2.511;7.695;1.935;0.132;10.018;-0.455;0.258;10.864;0.474;-2.511;7.695;1.935;-1.366;7.893;4.027;-0.017;4.806;-0.014;1.112;4.436;0.135;1.773;9.323;-0.466;3.471;7.152;0.45;0.566;9.871;-0.028;1.773;9.323;-0.466;3.484;4.905;3.452;2.702;0.992;1.778
-0.326;9.865;-0.076;-1.663;9.464;-0.037;0.017;5.492;-0.626;0.211;8.437;-0.836;0.211;8.437;-0.836;0.17;10.02;-0.425;-0.011;4.807;-0.009;0.017;5.492;-0.626;-0.011;4.807;-0.009;-1.167;4.541;0.15;-2.753;5.223;3.874;-3.001;1.15;2.738;-1.167;4.541;0.15;-2.753;5.223;3.874;3.607;7.212;0.429;4.775;7.358;2.596;1.116;4.432;0.134;3.52;4.901;3.429;-1.663;9.464;-0.037;-2.506;7.693;1.936;0.17;10.02;-0.425;0.303;10.862;0.507;-2.506;7.693;1.936;-1.365;7.889;4.03;-0.011;4.807;-0.009;1.116;4.432;0.134;1.811;9.321;-0.442;3.607;7.212;0.429;0.606;9.87;-0.001;1.811;9.321;-0.442;3.52;4.901;3.429;2.706;0.986;1.774
-0.281;9.865;-0.051;-1.62;9.469;-0.021;0.03;5.492;-0.614;0.248;8.436;-0.815;0.248;8.436;-0.815;0.215;10.018;-0.401;0.0;4.806;0.001;0.03;5.492;-0.614;0.0;4.806;0.001;-1.157;4.544;0.162;-2.731;5.22;3.893;-2.998;1.152;2.742;-1.157;4.544;0.162;-2.731;5.22;3.893;3.778;7.319;0.449;5.159;7.403;2.49;1.126;4.424;0.139;3.559;4.896;3.412;-1.62;9.469;-0.021;-2.496;7.69;1.93;0.215;10.018;-0.401;0.352;10.858;0.533;-2.496;7.69;1.93;-1.363;7.886;4.029;0.0;4.806;0.001;1.126;4.424;0.139;1.866;9.33;-0.408;3.778;7.319;0.449;0.65;9.865;0.022;1.866;9.33;-0.408;3.559;4.896;3.412;2.708;0.983;1.771
-0.228;9.863;-0.031;-1.569;9.472;-0.012;0.047;5.49;-0.604;0.294;8.433;-0.798;0.294;8.433;-0.798;0.27;10.014;-0.379;0.015;4.803;0.01;0.047;5.49;-0.604;0.015;4.803;0.01;-1.144;4.548;0.173;-2.707;5.215;3.91;-2.994;1.153;2.743;-1.144;4.548;0.173;-2.707;5.215;3.91;3.947;7.431;0.488;5.472;7.435;2.426;1.139;4.414;0.145;3.596;4.888;3.399;-1.569;9.472;-0.012;-2.481;7.688;1.918;0.27;10.014;-0.379;0.406;10.851;0.558;-2.481;7.688;1.918;-1.362;7.884;4.025;0.015;4.803;0.01;1.139;4.414;0.145;1.933;9.341;-0.367;3.947;7.431;0.488;0.703;9.857;0.045;1.933;9.341;-0.367;3.596;4.888;3.399;2.711;0.978;1.769
