right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.431;9.863;0.198;-1.759;9.443;0.098;0.065;5.528;-0.595;0.179;8.485;-0.598;0.179;8.485;-0.598;0.09;10.041;-0.099;0.0;4.827;0.0;0.065;5.528;-0.595;0.0;4.827;0.0;-1.167;4.584;0.112;-2.99;5.22;3.735;-2.724;1.038;3.119;-1.167;4.584;0.112;-2.99;5.22;3.735;3.022;7.267;1.749;1.823;7.721;3.855;1.113;4.419;0.168;3.513;4.972;3.452;-1.759;9.443;0.098;-2.963;7.583;1.781;0.09;10.041;-0.099;0.192;10.811;0.897;-2.963;7.583;1.781;-2.061;7.656;3.997;0.0;4.827;0.0;1.113;4.419;0.168;1.786;9.374;0.179;3.022;7.267;1.749;0.49;9.867;0.35;1.786;9.374;0.179;3.513;4.972;3.452;2.555;0.819;2.704
-0.435;9.857;0.202;-1.751;9.406;0.082;0.062;5.528;-0.601;0.186;8.484;-0.595;0.186;8.484;-0.595;0.086;10.038;-0.093;-0.001;4.826;-0.006;0.062;5.528;-0.601;-0.001;4.826;-0.006;-1.168;4.583;0.11;-2.981;5.221;3.737;-2.723;1.038;3.12;-1.168;4.583;0.11;-2.981;5.221;3.737;3.033;7.278;1.753;1.828;7.724;3.858;1.112;4.419;0.159;3.517;4.974;3.439;-1.751;9.406;0.082;-2.982;7.516;1.711;0.086;10.038;-0.093;0.187;10.81;0.902;-2.982;7.516;1.711;-2.253;7.685;3.984;-0.001;4.826;-0.006;1.112;4.419;0.159;1.784;9.381;0.187;3.033;7.278;1.753;0.486;9.866;0.356;1.784;9.381;0.187;3.517;4.974;3.439;2.555;0.82;2.703
-0.438;9.851;0.2;-1.733;9.354;0.04;0.063;5.529;-0.603;0.202;8.485;-0.593;0.202;8.485;-0.593;0.084;10.038;-0.091;0.001;4.827;-0.008;0.063;5.529;-0.603;0.001;4.827;-0.008;-1.165;4.585;0.109;-2.968;5.221;3.742;-2.722;1.039;3.121;-1.165;4.585;0.109;-2.968;5.221;3.742;3.043;7.288;1.753;1.833;7.723;3.857;1.114;4.419;0.153;3.527;4.972;3.428;-1.733;9.354;0.04;-3.016;7.449;1.61;0.084;10.038;-0.091;0.181;10.808;0.906;-3.016;7.449;1.61;-2.581;7.772;3.941;0.001;4.827;-0.008;1.114;4.419;0.153;1.783;9.391;0.195;3.043;7.288;1.753;0.482;9.869;0.362;1.783;9.391;0.195;3.527;4.972;3.428;2.555;0.818;2.701
-0.437;9.847;0.201;-1.707;9.305;-0.001;0.072;5.53;-0.602;0.224;8.485;-0.583;0.224;8.485;-0.583;0.087;10.037;-0.084;0.009;4.827;-0.009;0.072;5.53;-0.602;0.009;4.827;-0.009;-1.157;4.585;0.11;-2.953;5.223;3.746;-2.721;1.04;3.121;-1.157;4.585;0.11;-2.953;5.223;3.746;3.052;7.294;1.757;1.835;7.723;3.858;1.123;4.417;0.151;3.542;4.968;3.421;-1.707;9.305;-0.001;-3.073;7.411;1.511;0.087;10.037;-0.084;0.178;10.807;0.913;-3.073;7.411;1.511;-3.022;7.874;3.858;0.009;4.827;-0.009;1.123;4.417;0.151;1.785;9.399;0.209;3.052;7.294;1.757;0.481;9.873;0.373;1.785;9.399;0.209;3.542;4.968;3.421;2.556;0.817;2.7
-0.434;9.847;0.208;-1.688;9.278;-0.023;0.083;5.531;-0.596;0.241;8.486;-0.567;0.241;8.486;-0.567;0.092;10.039;-0.073;0.02;4.827;-0.005;0.083;5.531;-0.596;0.02;4.827;-0.005;-1.147;4.585;0.113;-2.94;5.225;3.75;-2.719;1.042;3.122;-1.147;4.585;0.113;-2.94;5.225;3.75;3.058;7.295;1.763;1.835;7.722;3.861;1.133;4.416;0.154;3.558;4.964;3.421;-1.688;9.278;-0.023;-3.169;7.433;1.439;0.092;10.039;-0.073;0.179;10.809;0.925;-3.169;7.433;1.439;-3.52;7.968;3.745;0.02;4.827;-0.005;1.133;4.416;0.154;1.787;9.405;0.226;3.058;7.295;1.763;0.483;9.877;0.388;1.787;9.405;0.226;3.558;4.964;3.421;2.558;0.816;2.701
-0.433;9.85;0.222;-1.685;9.281;-0.02;0.089;5.535;-0.588;0.247;8.49;-0.547;0.247;8.49;-0.547;0.094;10.043;-0.056;0.026;4.828;0.0;0.089;5.535;-0.588;0.026;4.828;0.0;-1.14;4.585;0.116;-2.933;5.226;3.752;-2.719;1.043;3.122;-1.14;4.585;0.116;-2.933;5.226;3.752;3.061;7.291;1.768;1.837;7.72;3.865;1.14;4.418;0.158;3.57;4.96;3.422;-1.685;9.281;-0.02;-3.311;7.524;1.397;0.094;10.043;-0.056;0.182;10.814;0.941;-3.311;7.524;1.397;-4.027;8.05;3.62;0.026;4.828;0.0;1.14;4.418;0.158;1.785;9.408;0.244;3.061;7.291;1.768;0.482;9.882;0.408;1.785;9.408;0.244;3.57;4.96;3.422;2.559;0.815;2.7
-0.438;9.851;0.243;-1.701;9.306;0.002;0.093;5.534;-0.58;0.241;8.489;-0.525;0.241;8.489;-0.525;0.089;10.043;-0.035;0.03;4.824;0.005;0.093;5.534;-0.58;0.03;4.824;0.005;-1.136;4.579;0.118;-2.933;5.227;3.751;-2.718;1.044;3.123;-1.136;4.579;0.118;-2.933;5.227;3.751;3.063;7.284;1.774;1.839;7.718;3.87;1.144;4.416;0.164;3.575;4.958;3.427;-1.701;9.306;0.002;-3.487;7.67;1.371;0.089;10.043;-0.035;0.183;10.816;0.959;-3.487;7.67;1.371;-4.51;8.12;3.487;0.03;4.824;0.005;1.144;4.416;0.164;1.778;9.405;0.263;3.063;7.284;1.774;0.476;9.882;0.43;1.778;9.405;0.263;3.575;4.958;3.427;2.559;0.814;2.702
-0.453;9.853;0.262;-1.734;9.348;0.03;0.089;5.536;-0.568;0.223;8.491;-0.509;0.223;8.491;-0.509;0.075;10.044;-0.015;0.027;4.823;0.014;0.089;5.536;-0.568;0.027;4.823;0.014;-1.138;4.573;0.122;-2.943;5.226;3.751;-2.719;1.043;3.123;-1.138;4.573;0.122;-2.943;5.226;3.751;3.061;7.276;1.774;1.841;7.713;3.872;1.142;4.418;0.173;3.571;4.957;3.439;-1.734;9.348;0.03;-3.667;7.844;1.349;0.075;10.044;-0.015;0.179;10.818;0.978;-3.667;7.844;1.349;-4.932;8.177;3.352;0.027;4.823;0.014;1.142;4.418;0.173;1.762;9.401;0.28;3.061;7.276;1.774;0.462;9.881;0.45;1.762;9.401;0.28;3.571;4.957;3.439;2.557;0.815;2.702
-0.476;9.852;0.281;-1.776;9.394;0.059;0.081;5.536;-0.562;0.195;8.492;-0.496;0.195;8.492;-0.496;0.053;10.043;0.005;0.021;4.82;0.016;0.081;5.536;-0.562;0.021;4.82;0.016;-1.144;4.563;0.118;-2.958;5.226;3.741;-2.722;1.042;3.123;-1.144;4.563;0.118;-2.958;5.226;3.741;3.055;7.269;1.771;1.843;7.707;3.873;1.137;4.419;0.177;3.555;4.959;3.451;-1.776;9.394;0.059;-3.832;8.018;1.333;0.053;10.043;0.005;0.168;10.817;0.996;-3.832;8.018;1.333;-5.28;8.221;3.227;0.021;4.82;0.016;1.137;4.419;0.177;1.738;9.395;0.295;3.055;7.269;1.771;0.439;9.876;0.468;1.738;9.395;0.295;3.555;4.959;3.451;2.555;0.816;2.703
-0.506;9.849;0.297;-1.822;9.432;0.087;0.071;5.535;-0.56;0.164;8.492;-0.487;0.164;8.492;-0.487;0.023;10.04;0.022;0.014;4.816;0.014;0.071;5.535;-0.56;0.014;4.816;0.014;-1.15;4.55;0.11;-2.976;5.225;3.724;-2.725;1.04;3.123;-1.15;4.55;0.11;-2.976;5.225;3.724;3.045;7.265;1.769;1.842;7.703;3.877;1.132;4.422;0.179;3.533;4.964;3.464;-1.822;9.432;0.087;-3.968;8.167;1.325;0.023;10.04;0.022;0.152;10.814;1.012;-3.968;8.167;1.325;-5.556;8.246;3.114;0.014;4.816;0.014;1.132;4.422;0.179;1.708;9.391;0.31;3.045;7.265;1.769;0.409;9.87;0.485;1.708;9.391;0.31;3.533;4.964;3.464;2.555;0.818;2.704
