right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.502;9.807;-0.061;-1.832;9.383;-0.05;0.054;5.471;-0.635;0.142;8.423;-0.821;0.142;8.423;-0.821;0.001;9.994;-0.383;0.0;4.805;0.0;0.054;5.471;-0.635;0.0;4.805;0.0;-1.163;4.554;0.13;-2.861;5.179;3.815;-3.127;1.128;2.606;-1.163;4.554;0.13;-2.861;5.179;3.815;2.956;7.467;1.622;1.871;7.762;3.817;1.119;4.423;0.187;3.498;4.859;3.504;-1.832;9.383;-0.05;-3.051;7.637;1.74;0.001;9.994;-0.383;0.157;10.793;0.582;-3.051;7.637;1.74;-2.216;7.69;3.982;0.0;4.805;0.0;1.119;4.423;0.187;1.714;9.379;-0.177;2.956;7.467;1.622;0.423;9.856;0.059;1.714;9.379;-0.177;3.498;4.859;3.504;2.615;0.939;1.897
-0.511;9.798;-0.047;-1.832;9.348;-0.087;0.054;5.471;-0.635;0.15;8.423;-0.807;0.15;8.423;-0.807;-0.007;9.99;-0.364;-0.001;4.804;0.0;0.054;5.471;-0.635;-0.001;4.804;0.0;-1.164;4.553;0.128;-2.87;5.179;3.809;-3.128;1.127;2.606;-1.164;4.553;0.128;-2.87;5.179;3.809;2.961;7.467;1.626;1.872;7.76;3.818;1.118;4.422;0.189;3.489;4.86;3.511;-1.832;9.348;-0.087;-3.187;7.593;1.594;-0.007;9.99;-0.364;0.146;10.788;0.604;-3.187;7.593;1.594;-2.674;7.727;3.927;-0.001;4.804;0.0;1.118;4.422;0.189;1.705;9.383;-0.158;2.961;7.467;1.626;0.412;9.854;0.081;1.705;9.383;-0.158;3.489;4.86;3.511;2.614;0.941;1.898
-0.521;9.793;-0.032;-1.828;9.311;-0.125;0.06;5.472;-0.633;0.161;8.426;-0.788;0.161;8.426;-0.788;-0.014;9.99;-0.342;0.004;4.804;0.0;0.06;5.472;-0.633;0.004;4.804;0.0;-1.16;4.553;0.126;-2.876;5.181;3.802;-3.129;1.126;2.604;-1.16;4.553;0.126;-2.876;5.181;3.802;2.968;7.468;1.632;1.872;7.758;3.822;1.122;4.422;0.19;3.483;4.861;3.52;-1.828;9.311;-0.125;-3.326;7.575;1.451;-0.014;9.99;-0.342;0.134;10.785;0.628;-3.326;7.575;1.451;-3.216;7.81;3.83;0.004;4.804;0.0;1.122;4.422;0.19;1.696;9.391;-0.134;2.968;7.468;1.632;0.401;9.856;0.107;1.696;9.391;-0.134;3.483;4.861;3.52;2.614;0.944;1.898
-0.533;9.792;-0.014;-1.825;9.28;-0.147;0.066;5.477;-0.627;0.17;8.431;-0.764;0.17;8.431;-0.764;-0.024;9.994;-0.318;0.009;4.808;0.005;0.066;5.477;-0.627;0.009;4.808;0.005;-1.155;4.556;0.127;-2.883;5.182;3.798;-3.129;1.126;2.602;-1.155;4.556;0.127;-2.883;5.182;3.798;2.973;7.474;1.639;1.871;7.757;3.826;1.127;4.425;0.196;3.478;4.861;3.532;-1.825;9.28;-0.147;-3.463;7.595;1.343;-0.024;9.994;-0.318;0.119;10.787;0.654;-3.463;7.595;1.343;-3.788;7.93;3.69;0.009;4.808;0.005;1.127;4.425;0.196;1.684;9.405;-0.106;2.973;7.474;1.639;0.387;9.863;0.135;1.684;9.405;-0.106;3.478;4.861;3.532;2.614;0.948;1.9
-0.548;9.794;0.007;-1.83;9.262;-0.146;0.069;5.484;-0.619;0.17;8.439;-0.737;0.17;8.439;-0.737;-0.039;10.0;-0.294;0.012;4.812;0.01;0.069;5.484;-0.619;0.012;4.812;0.01;-1.152;4.559;0.13;-2.893;5.183;3.795;-3.131;1.126;2.601;-1.152;4.559;0.13;-2.893;5.183;3.795;2.977;7.483;1.643;1.87;7.759;3.83;1.129;4.429;0.201;3.47;4.863;3.546;-1.83;9.262;-0.146;-3.602;7.665;1.285;-0.039;10.0;-0.294;0.101;10.792;0.68;-3.602;7.665;1.285;-4.335;8.065;3.527;0.012;4.812;0.01;1.129;4.429;0.201;1.668;9.42;-0.08;2.977;7.483;1.643;0.37;9.873;0.163;1.668;9.42;-0.08;3.47;4.863;3.546;2.613;0.953;1.902
-0.571;9.797;0.034;-1.852;9.263;-0.117;0.067;5.49;-0.61;0.157;8.446;-0.708;0.157;8.446;-0.708;-0.062;10.006;-0.265;0.009;4.816;0.016;0.067;5.49;-0.61;0.009;4.816;0.016;-1.154;4.561;0.134;-2.907;5.184;3.794;-3.133;1.127;2.601;-1.154;4.561;0.134;-2.907;5.184;3.794;2.977;7.491;1.645;1.87;7.759;3.831;1.127;4.433;0.207;3.458;4.866;3.559;-1.852;9.263;-0.117;-3.748;7.774;1.269;-0.062;10.006;-0.265;0.078;10.799;0.708;-3.748;7.774;1.269;-4.823;8.165;3.371;0.009;4.816;0.016;1.127;4.433;0.207;1.645;9.433;-0.055;2.977;7.491;1.645;0.346;9.881;0.192;1.645;9.433;-0.055;3.458;4.866;3.559;2.611;0.958;1.904
-0.601;9.798;0.066;-1.892;9.284;-0.071;0.062;5.495;-0.6;0.131;8.452;-0.682;0.131;8.452;-0.682;-0.094;10.01;-0.234;0.005;4.818;0.023;0.062;5.495;-0.6;0.005;4.818;0.023;-1.158;4.559;0.139;-2.923;5.185;3.793;-3.135;1.126;2.6;-1.158;4.559;0.139;-2.923;5.185;3.793;2.973;7.495;1.643;1.872;7.759;3.833;1.124;4.437;0.213;3.442;4.87;3.573;-1.892;9.284;-0.071;-3.9;7.914;1.281;-0.094;10.01;-0.234;0.051;10.805;0.736;-3.9;7.914;1.281;-5.23;8.224;3.246;0.005;4.818;0.023;1.124;4.437;0.213;1.615;9.44;-0.032;2.973;7.495;1.643;0.316;9.885;0.222;1.615;9.44;-0.032;3.442;4.87;3.573;2.609;0.964;1.908
-0.641;9.796;0.101;-1.949;9.32;-0.011;0.052;5.498;-0.593;0.09;8.456;-0.659;0.09;8.456;-0.659;-0.136;10.011;-0.202;-0.002;4.818;0.028;0.052;5.498;-0.593;-0.002;4.818;0.028;-1.164;4.556;0.143;-2.939;5.185;3.791;-3.138;1.125;2.601;-1.164;4.556;0.143;-2.939;5.185;3.791;2.962;7.496;1.637;1.871;7.756;3.833;1.118;4.441;0.217;3.424;4.874;3.586;-1.949;9.32;-0.011;-4.041;8.069;1.328;-0.136;10.011;-0.202;0.019;10.809;0.765;-4.041;8.069;1.328;-5.532;8.249;3.191;-0.002;4.818;0.028;1.118;4.441;0.217;1.575;9.443;-0.012;2.962;7.496;1.637;0.277;9.885;0.251;1.575;9.443;-0.012;3.424;4.874;3.586;2.608;0.969;1.91
-0.684;9.791;0.133;-2.009;9.359;0.05;0.045;5.5;-0.586;0.045;8.459;-0.641;0.045;8.459;-0.641;-0.182;10.01;-0.171;-0.007;4.818;0.032;0.045;5.5;-0.586;-0.007;4.818;0.032;-1.168;4.55;0.145;-2.953;5.184;3.787;-3.139;1.122;2.601;-1.168;4.55;0.145;-2.953;5.184;3.787;2.949;7.496;1.631;1.87;7.752;3.833;1.115;4.445;0.221;3.405;4.875;3.6;-2.009;9.359;0.05;-4.154;8.209;1.396;-0.182;10.01;-0.171;-0.014;10.81;0.792;-4.154;8.209;1.396;-5.743;8.247;3.185;-0.007;4.818;0.032;1.115;4.445;0.221;1.532;9.443;0.007;2.949;7.496;1.631;0.235;9.882;0.279;1.532;9.443;0.007;3.405;4.875;3.6;2.606;0.971;1.912
-0.726;9.785;0.161;-2.064;9.389;0.109;0.04;5.503;-0.582;0.004;8.462;-0.628;0.004;8.462;-0.628;-0.227;10.008;-0.144;-0.009;4.819;0.033;0.04;5.503;-0.582;-0.009;4.819;0.033;-1.169;4.544;0.144;-2.965;5.186;3.779;-3.14;1.121;2.601;-1.169;4.544;0.144;-2.965;5.186;3.779;2.936;7.502;1.626;1.867;7.749;3.835;1.114;4.451;0.223;3.389;4.876;3.613;-2.064;9.389;0.109;-4.227;8.307;1.483;-0.227;10.008;-0.144;-0.047;10.809;0.816;-4.227;8.307;1.483;-5.87;8.209;3.22;-0.009;4.819;0.033;1.114;4.451;0.223;1.491;9.445;0.023;2.936;7.502;1.626;0.193;9.878;0.302;1.491;9.445;0.023;3.389;4.876;3.613;2.607;0.974;1.914
