right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.455;9.884;0.15;-1.791;9.483;0.077;0.028;5.539;-0.585;0.166;8.495;-0.618;0.166;8.495;-0.618;0.061;10.061;-0.156;0.0;4.827;0.0;0.028;5.539;-0.585;0.0;4.827;0.0;-1.154;4.537;0.128;-2.897;5.258;3.774;-2.634;1.069;3.208;-1.154;4.537;0.128;-2.897;5.258;3.774;2.983;7.339;1.704;1.889;7.775;3.871;1.131;4.46;0.143;3.574;5.013;3.395;-1.791;9.483;0.077;-2.974;7.663;1.816;0.061;10.061;-0.156;0.15;10.865;0.814;-2.974;7.663;1.816;-1.945;7.738;3.976;0.0;4.827;0.0;1.131;4.46;0.143;1.759;9.415;0.084;2.983;7.339;1.704;0.468;9.904;0.293;1.759;9.415;0.084;3.574;5.013;3.395;2.642;0.854;2.645
-0.448;9.889;0.169;-1.775;9.466;0.067;0.036;5.552;-0.587;0.181;8.507;-0.606;0.181;8.507;-0.606;0.067;10.071;-0.138;0.008;4.839;-0.003;0.036;5.552;-0.587;0.008;4.839;-0.003;-1.148;4.556;0.132;-2.885;5.265;3.783;-2.634;1.076;3.207;-1.148;4.556;0.132;-2.885;5.265;3.783;2.991;7.346;1.704;1.894;7.778;3.87;1.137;4.466;0.133;3.585;5.014;3.382;-1.775;9.466;0.067;-3.019;7.604;1.717;0.067;10.071;-0.138;0.153;10.874;0.834;-3.019;7.604;1.717;-2.153;7.74;3.944;0.008;4.839;-0.003;1.137;4.466;0.133;1.766;9.429;0.094;2.991;7.346;1.704;0.475;9.914;0.31;1.766;9.429;0.094;3.585;5.014;3.382;2.641;0.856;2.644
-0.45;9.879;0.181;-1.763;9.428;0.03;0.025;5.549;-0.586;0.189;8.503;-0.598;0.189;8.503;-0.598;0.065;10.065;-0.124;-0.002;4.835;-0.003;0.025;5.549;-0.586;-0.002;4.835;-0.003;-1.157;4.553;0.136;-2.884;5.257;3.793;-2.635;1.069;3.209;-1.157;4.553;0.136;-2.884;5.257;3.793;2.996;7.34;1.702;1.895;7.774;3.866;1.128;4.46;0.127;3.585;5.013;3.368;-1.763;9.428;0.03;-3.103;7.53;1.56;0.065;10.065;-0.124;0.149;10.866;0.849;-3.103;7.53;1.56;-2.502;7.753;3.865;-0.002;4.835;-0.003;1.128;4.46;0.127;1.764;9.427;0.102;2.996;7.34;1.702;0.473;9.908;0.325;1.764;9.427;0.102;3.585;5.013;3.368;2.641;0.853;2.642
-0.442;9.885;0.2;-1.735;9.403;-0.014;0.039;5.564;-0.581;0.214;8.518;-0.579;0.214;8.518;-0.579;0.074;10.076;-0.099;0.011;4.849;0.0;0.039;5.564;-0.581;0.011;4.849;0.0;-1.144;4.573;0.143;-2.86;5.264;3.808;-2.634;1.077;3.207;-1.144;4.573;0.143;-2.86;5.264;3.808;3.007;7.343;1.705;1.898;7.773;3.865;1.139;4.467;0.123;3.608;5.009;3.358;-1.735;9.403;-0.014;-3.192;7.478;1.367;0.074;10.076;-0.099;0.151;10.874;0.878;-3.192;7.478;1.367;-2.949;7.775;3.73;0.011;4.849;0.0;1.139;4.467;0.123;1.771;9.444;0.125;3.007;7.343;1.705;0.479;9.921;0.353;1.771;9.444;0.125;3.608;5.009;3.358;2.639;0.853;2.64
-0.441;9.878;0.219;-1.715;9.374;-0.05;0.049;5.564;-0.576;0.231;8.518;-0.557;0.231;8.518;-0.557;0.077;10.073;-0.073;0.02;4.847;0.002;0.049;5.564;-0.576;0.02;4.847;0.002;-1.136;4.572;0.144;-2.84;5.266;3.814;-2.633;1.079;3.209;-1.136;4.572;0.144;-2.84;5.266;3.814;3.018;7.339;1.713;1.9;7.771;3.868;1.147;4.464;0.125;3.624;5.005;3.354;-1.715;9.374;-0.05;-3.293;7.455;1.2;0.077;10.073;-0.073;0.149;10.869;0.905;-3.293;7.455;1.2;-3.436;7.8;3.564;0.02;4.847;0.002;1.147;4.464;0.125;1.772;9.447;0.152;3.018;7.339;1.713;0.478;9.919;0.382;1.772;9.447;0.152;3.624;5.005;3.354;2.642;0.851;2.64
-0.445;9.861;0.237;-1.708;9.351;-0.07;0.047;5.548;-0.573;0.236;8.501;-0.532;0.236;8.501;-0.532;0.077;10.056;-0.05;0.02;4.828;0.002;0.047;5.548;-0.573;0.02;4.828;0.002;-1.135;4.544;0.137;-2.83;5.26;3.806;-2.63;1.071;3.21;-1.135;4.544;0.137;-2.83;5.26;3.806;3.032;7.328;1.731;1.901;7.766;3.878;1.149;4.451;0.128;3.625;5.001;3.356;-1.708;9.351;-0.07;-3.41;7.48;1.088;0.077;10.056;-0.05;0.144;10.852;0.929;-3.41;7.48;1.088;-3.912;7.847;3.4;0.02;4.828;0.002;1.149;4.451;0.128;1.769;9.436;0.183;3.032;7.328;1.731;0.472;9.901;0.41;1.769;9.436;0.183;3.625;5.001;3.356;2.645;0.847;2.641
-0.451;9.866;0.251;-1.713;9.363;-0.073;0.055;5.555;-0.562;0.237;8.508;-0.515;0.237;8.508;-0.515;0.073;10.062;-0.029;0.027;4.832;0.009;0.055;5.555;-0.562;0.027;4.832;0.009;-1.127;4.543;0.136;-2.824;5.264;3.804;-2.627;1.075;3.21;-1.127;4.543;0.136;-2.824;5.264;3.804;3.04;7.331;1.74;1.899;7.765;3.883;1.157;4.46;0.141;3.631;5.0;3.372;-1.713;9.363;-0.073;-3.536;7.572;1.025;0.073;10.062;-0.029;0.138;10.855;0.952;-3.536;7.572;1.025;-4.346;7.913;3.251;0.027;4.832;0.009;1.157;4.46;0.141;1.762;9.444;0.211;3.04;7.331;1.74;0.464;9.906;0.434;1.762;9.444;0.211;3.631;5.0;3.372;2.646;0.85;2.64
-0.469;9.867;0.272;-1.739;9.381;-0.048;0.058;5.557;-0.554;0.223;8.511;-0.495;0.223;8.511;-0.495;0.057;10.063;-0.005;0.03;4.832;0.015;0.058;5.557;-0.554;0.03;4.832;0.015;-1.125;4.538;0.133;-2.827;5.264;3.797;-2.625;1.074;3.21;-1.125;4.538;0.133;-2.827;5.264;3.797;3.041;7.33;1.75;1.896;7.762;3.891;1.16;4.463;0.153;3.623;4.999;3.393;-1.739;9.381;-0.048;-3.668;7.69;1.027;0.057;10.063;-0.005;0.125;10.853;0.979;-3.668;7.69;1.027;-4.724;7.958;3.157;0.03;4.832;0.015;1.16;4.463;0.153;1.745;9.446;0.24;3.041;7.33;1.75;0.445;9.905;0.46;1.745;9.446;0.24;3.623;4.999;3.393;2.647;0.85;2.644
-0.493;9.868;0.287;-1.777;9.411;-0.017;0.053;5.56;-0.552;0.199;8.515;-0.485;0.199;8.515;-0.485;0.034;10.065;0.012;0.024;4.832;0.014;0.053;5.56;-0.552;0.024;4.832;0.014;-1.129;4.533;0.124;-2.844;5.26;3.783;-2.627;1.069;3.208;-1.129;4.533;0.124;-2.844;5.26;3.783;3.038;7.33;1.748;1.896;7.758;3.892;1.156;4.469;0.158;3.602;5.002;3.411;-1.777;9.411;-0.017;-3.8;7.831;1.054;0.034;10.065;0.012;0.107;10.85;0.999;-3.8;7.831;1.054;-5.041;8.009;3.092;0.024;4.832;0.014;1.156;4.469;0.158;1.722;9.446;0.257;3.038;7.33;1.748;0.421;9.904;0.477;1.722;9.446;0.257;3.602;5.002;3.411;2.645;0.852;2.643
-0.518;9.867;0.297;-1.818;9.443;0.015;0.044;5.559;-0.552;0.171;8.515;-0.481;0.171;8.515;-0.481;0.009;10.064;0.022;0.017;4.831;0.013;0.044;5.559;-0.552;0.017;4.831;0.013;-1.136;4.524;0.115;-2.873;5.242;3.765;-2.623;1.049;3.217;-1.136;4.524;0.115;-2.873;5.242;3.765;3.032;7.33;1.743;1.898;7.754;3.891;1.15;4.473;0.161;3.573;5.009;3.431;-1.818;9.443;0.015;-3.919;7.981;1.104;0.009;10.064;0.022;0.089;10.845;1.011;-3.919;7.981;1.104;-5.289;8.08;3.064;0.017;4.831;0.013;1.15;4.473;0.161;1.697;9.443;0.265;3.032;7.33;1.743;0.396;9.9;0.487;1.697;9.443;0.265;3.573;5.009;3.431;2.646;0.856;2.643
